"SeenVideo","NVideoAndForum_","IsLastSubm","NumberOfThreadsLaunched","SubmissionNumber","TotalTimeVideo","EngagementIndex","Class","TrueVal","Predictions"
0,0,0,0,39,0,0,"No","No","No"
0,0,0,0,2,0,0,"Yes","Yes","Yes"
0,0,1,0,1,0,0,"Yes","Yes","Yes"
0,0,0,0,12,0,0,"Yes","Yes","No"
1,5,1,0,6,322,0,"Yes","Yes","Yes"
0,0,1,0,9,0,0,"Yes","Yes","Yes"
0,0,0,0,2,0,0,"No","No","Yes"
0,0,0,0,10,0,0,"No","No","No"
0,0,0,0,6,0,0,"Yes","Yes","No"
0,0,0,0,6,0,0,"Yes","Yes","No"
1,36,1,0,3,7323,0,"Yes","Yes","Yes"
1,7,1,0,1,126,0,"Yes","Yes","Yes"
0,0,0,0,5,0,0,"No","No","Yes"
0,0,0,0,18,0,0,"Yes","Yes","No"
0,0,0,0,12,0,0,"No","No","No"
1,278,1,0,10,1240795,0,"Yes","Yes","Yes"
0,0,0,0,48,0,0,"No","No","No"
0,0,0,0,1,0,0,"No","No","Yes"
0,0,0,0,10,0,0,"No","No","No"
0,26,0,0,2,9154992,0,"No","No","No"
0,0,0,0,9,0,0,"No","No","No"
0,0,0,0,4,0,0,"No","No","Yes"
0,1,0,0,19,0,0,"No","No","No"
0,0,0,1,1,0,0,"No","No","Yes"
0,0,1,0,1,0,0,"No","No","Yes"
0,0,0,0,4,0,0,"Yes","Yes","Yes"
0,0,0,0,1,0,0,"Yes","Yes","Yes"
0,0,0,0,11,0,0,"Yes","Yes","No"
0,0,0,0,1,0,0,"Yes","Yes","Yes"
0,0,0,0,1,0,0,"No","No","Yes"
0,0,0,0,9,0,0,"No","No","No"
0,0,0,0,5,0,0,"No","No","Yes"
0,0,0,0,15,0,0,"No","No","No"
1,6,1,0,3,1012800,0,"Yes","Yes","Yes"
0,0,0,0,6,0,0,"No","No","No"
0,0,0,0,35,0,0,"Yes","Yes","No"
0,0,1,0,7,0,0,"No","No","Yes"
0,0,1,0,2,0,0,"No","No","Yes"
0,0,0,0,4,0,0,"Yes","Yes","Yes"
0,0,1,0,12,0,0,"Yes","Yes","Yes"
0,0,0,0,5,0,0,"Yes","Yes","Yes"
0,0,1,0,7,0,0,"Yes","Yes","Yes"
0,0,0,0,7,0,0,"No","No","No"
0,0,0,0,2,0,0,"Yes","Yes","Yes"
0,0,0,0,8,0,0,"No","No","No"
0,0,0,0,14,0,0,"No","No","No"
0,0,0,0,1,0,0,"Yes","Yes","Yes"
0,0,0,0,14,0,0,"No","No","No"
0,0,0,0,2,0,0,"No","No","Yes"
0,0,1,0,4,0,0,"Yes","Yes","Yes"
1,23,0,0,3,2294,0,"No","No","No"
0,0,0,0,7,0,0,"No","No","No"
0,0,0,0,1,0,0,"Yes","Yes","Yes"
1,8,1,0,1,2982,0,"Yes","Yes","Yes"
1,26,0,0,13,4135,0,"No","No","No"
0,0,1,0,13,0,0,"No","No","Yes"
0,0,0,0,2,0,0,"No","No","Yes"
0,0,1,0,2,0,0,"Yes","Yes","Yes"
0,0,0,0,2,0,0,"No","No","Yes"
0,0,0,0,8,0,0,"Yes","Yes","No"
0,0,1,0,1,0,0,"Yes","Yes","Yes"
0,0,0,0,16,0,0,"No","No","No"
1,27,0,0,14,18222,0,"No","No","No"
0,0,0,0,5,0,0,"No","No","Yes"
0,0,0,0,13,0,0,"No","No","No"
0,0,0,0,3,0,0,"Yes","Yes","Yes"
1,91,0,0,3,2123425,0,"No","No","No"
1,6,1,0,1,262,0,"Yes","Yes","Yes"
1,9,0,0,34,636,0,"No","No","No"
0,0,0,0,2,0,0,"Yes","Yes","Yes"
0,0,0,0,1,0,0,"No","No","Yes"
0,0,0,0,12,0,0,"Yes","Yes","No"
1,72,0,0,1,735,0,"No","No","No"
0,0,0,0,8,0,0,"Yes","Yes","No"
0,0,0,0,2,0,0,"No","No","Yes"
0,0,0,1,9,0,0,"Yes","Yes","No"
0,0,0,0,13,0,0,"No","No","No"
1,146,0,0,8,84126,0,"No","No","No"
0,0,0,0,4,0,0,"No","No","Yes"
0,0,0,0,3,0,0,"Yes","Yes","Yes"
0,0,0,0,4,0,0,"Yes","Yes","Yes"
0,0,0,0,27,0,0,"No","No","No"
0,0,0,0,1,0,0,"No","No","Yes"
0,0,1,0,6,0,0,"Yes","Yes","Yes"
0,0,0,0,17,0,0,"No","No","No"
0,0,0,0,10,0,0,"Yes","Yes","No"
0,0,0,1,37,0,0,"No","No","No"
0,0,0,0,7,0,0,"No","No","No"
0,0,0,0,6,0,0,"No","No","No"
0,0,1,0,1,0,0,"Yes","Yes","Yes"
0,0,0,0,4,0,0,"No","No","Yes"
0,0,0,0,1,0,0,"Yes","Yes","Yes"
0,0,0,0,1,0,0,"No","No","Yes"
0,0,0,1,4,0,0,"No","No","Yes"
0,0,0,0,7,0,0,"No","No","No"
1,4,1,0,1,112,0,"Yes","Yes","Yes"
0,0,1,0,2,0,0,"No","No","Yes"
0,0,1,0,9,0,0,"No","No","Yes"
0,0,1,0,3,0,0,"Yes","Yes","Yes"
0,0,1,0,1,0,0,"Yes","Yes","Yes"
0,1,1,0,4,0,0,"No","No","Yes"
0,0,0,0,2,0,0,"Yes","Yes","Yes"
0,0,0,0,4,0,0,"No","No","Yes"
0,0,0,0,3,0,0,"No","No","Yes"
0,0,0,0,2,0,0,"No","No","Yes"
0,0,0,0,24,0,0,"No","No","No"
0,7,0,0,20,0,0,"No","No","No"
1,3,0,0,17,160,0,"No","No","No"
0,0,0,0,11,0,0,"No","No","No"
1,14,0,0,8,8814,6,"No","No","No"
0,0,0,0,5,0,0,"Yes","Yes","Yes"
0,0,0,0,3,0,0,"No","No","Yes"
1,20,0,1,5,2162,18,"Yes","Yes","Yes"
0,0,0,0,14,0,0,"No","No","No"
0,0,0,0,1,0,0,"No","No","Yes"
0,0,0,1,43,0,0,"Yes","Yes","No"
0,0,0,0,2,0,0,"Yes","Yes","Yes"
0,0,0,0,8,0,0,"No","No","No"
0,0,0,0,3,0,0,"No","No","Yes"
0,0,0,0,8,0,0,"Yes","Yes","No"
0,0,0,0,4,0,0,"Yes","Yes","Yes"
0,0,0,0,9,0,0,"Yes","Yes","No"
1,41,0,0,5,10197,0,"Yes","Yes","Yes"
1,15,1,1,1,8,12,"Yes","Yes","Yes"
0,0,0,0,4,0,0,"No","No","Yes"
0,0,0,0,5,0,0,"No","No","Yes"
0,0,0,0,6,0,0,"No","No","No"
0,0,0,0,96,0,0,"No","No","No"
0,0,1,0,6,0,0,"No","No","Yes"
