"","X","ProblemID","UserID","SubmissionNumber","TimeStamp","TimeSinceLast","Grade","GradeDiff","NVideoEvents","NForumEvents","DurationOfVideoActivity","NumberOfThreadViews","AverageVideoTimeDiffs","NVideoAndForum","improved"
"1",8961,2,"000e3646f96d6d68198f2fef6f0db5e774bfc69f",5,1393783600,409,0,0,0,7,0,3,0,7,"No"
"2",8962,2,"000e3646f96d6d68198f2fef6f0db5e774bfc69f",6,1393784005,405,0,0,0,4,0,2,0,4,"No"
"3",17027,4,"000e3646f96d6d68198f2fef6f0db5e774bfc69f",13,1395184965,563,75,0,0,5,0,1,0,5,"No"
"4",34920,7,"000e3646f96d6d68198f2fef6f0db5e774bfc69f",39,1395697187,1631,85.7142857142857,0,0,21,0,8,0,21,"No"
"5",40088,8,"000e3646f96d6d68198f2fef6f0db5e774bfc69f",2,1396134600,775,0,0,0,8,0,3,0,8,"No"
"6",40090,8,"000e3646f96d6d68198f2fef6f0db5e774bfc69f",4,1396135555,861,0,0,0,2,0,1,0,2,"No"
"7",40091,8,"000e3646f96d6d68198f2fef6f0db5e774bfc69f",5,1396137480,1925,0,0,0,14,0,7,0,14,"No"
"8",40098,8,"000e3646f96d6d68198f2fef6f0db5e774bfc69f",12,1396254867,116637,0,0,0,9,0,2,0,9,"No"
"9",40100,8,"000e3646f96d6d68198f2fef6f0db5e774bfc69f",14,1396255625,606,0,0,0,7,0,3,0,7,"No"
"10",40115,8,"000e3646f96d6d68198f2fef6f0db5e774bfc69f",29,1396282599,1212,0,0,0,13,0,5,0,13,"No"
"11",40130,8,"000e3646f96d6d68198f2fef6f0db5e774bfc69f",44,1396287035,1837,0,-75,0,23,0,10,0,23,"No"
"12",44820,9,"000e3646f96d6d68198f2fef6f0db5e774bfc69f",4,1396715942,3429,72.5,0,0,8,0,3,0,8,"No"
"13",44821,9,"000e3646f96d6d68198f2fef6f0db5e774bfc69f",5,1396717701,1759,75,2.5,0,11,0,4,0,11,"Yes"
"14",44824,9,"000e3646f96d6d68198f2fef6f0db5e774bfc69f",8,1396720897,1502,87.5,12.5,0,6,0,2,0,6,"Yes"
"15",11787,2,"0077f44f0f89d5f030eb51aaedfe2d44c52a6935",3,1393498745,659,0,0,0,8,0,7,0,8,"No"
"16",11788,2,"0077f44f0f89d5f030eb51aaedfe2d44c52a6935",4,1393624975,126230,0,0,0,8,0,7,0,8,"No"
"17",21190,4,"0077f44f0f89d5f030eb51aaedfe2d44c52a6935",1,1394465900,242,0,0,0,7,0,6,0,7,"No"
"18",28326,5,"0077f44f0f89d5f030eb51aaedfe2d44c52a6935",2,1394470592,435,0,0,0,7,0,5,0,7,"No"
"19",28334,5,"0077f44f0f89d5f030eb51aaedfe2d44c52a6935",10,1394543731,72292,97.7777777777778,0,22,0,1649,0,78,22,"No"
"20",4632,1,"0087e6afbb1337a327e3416d31049ccaf600b095",2,1393882187,383,100,100,0,3,0,1,0,3,"Yes"
"21",16163,4,"00b4011fa2cad5669ff2ddbec5ab413735d992b6",2,1394396310,411,0,0,0,2,0,1,0,2,"No"
"22",16164,4,"00b4011fa2cad5669ff2ddbec5ab413735d992b6",3,1394396725,415,0,0,0,2,0,1,0,2,"No"
"23",23600,5,"00b4011fa2cad5669ff2ddbec5ab413735d992b6",2,1394400611,348,91.1111111111111,91.1111111111111,0,2,0,2,0,2,"Yes"
"24",7338,1,"00c47853120cefbcda1d9d7d1fa65576819ddf29",3,1393548308,774,77.5,77.5,0,3,0,1,0,3,"Yes"
"25",12673,2,"00c47853120cefbcda1d9d7d1fa65576819ddf29",2,1393548530,3479,100,5,0,3,0,1,0,3,"Yes"
"26",32606,7,"00e2fc0d0020a048d7fedfebac914c1cf8e71a67",5,1395062921,200,100,100,0,3,0,3,0,3,"Yes"
"27",28812,5,"01412128412b3847419606f1ac550b40568748ad",6,1395628728,984,100,11.1111111111111,0,2,0,2,0,2,"Yes"
"28",1456,0,"0163922789abaa2a257f4b3bf5bfeed43e046aa5",1,1393000512,447,66.6666666666667,-11.1111640930176,0,2,0,0,0,2,"No"
"29",19019,4,"0163922789abaa2a257f4b3bf5bfeed43e046aa5",2,1394126545,271,75,0,0,2,0,1,0,2,"No"
"30",51919,11,"0163922789abaa2a257f4b3bf5bfeed43e046aa5",5,1395367725,180,0,0,0,1,0,0,0,1,"No"
"31",51920,11,"0163922789abaa2a257f4b3bf5bfeed43e046aa5",6,1395368367,642,77.7777777777778,77.7777777777778,0,5,0,2,0,5,"Yes"
"32",62802,14,"0163922789abaa2a257f4b3bf5bfeed43e046aa5",7,1396660940,833,86.6666666666667,0,0,15,0,11,0,15,"No"
"33",62805,14,"0163922789abaa2a257f4b3bf5bfeed43e046aa5",10,1396727562,65831,86.6666666666667,0,0,5,0,1,0,5,"No"
"34",60908,14,"01d538e757040bd4eefcac2b7c46e651059d9d52",1,1396971256,14377,80,1.33333333333334,0,7,0,3,0,7,"Yes"
"35",19746,4,"02d9aeeabbad3a858370c523e31f26bbdf6717e0",3,1394136615,34350,75,0,0,22,0,9,0,22,"No"
"36",19747,4,"02d9aeeabbad3a858370c523e31f26bbdf6717e0",4,1394136926,311,75,0,0,2,0,2,0,2,"No"
"37",19748,4,"02d9aeeabbad3a858370c523e31f26bbdf6717e0",5,1394519089,382163,75,0,5,19,16,7,4,24,"No"
"38",19749,4,"02d9aeeabbad3a858370c523e31f26bbdf6717e0",6,1395480777,961688,75,0,4,7,15,2,5,11,"No"
"39",26987,5,"02d9aeeabbad3a858370c523e31f26bbdf6717e0",4,1394134624,5554,88.8888888888889,0,0,12,0,5,0,12,"No"
"40",26988,5,"02d9aeeabbad3a858370c523e31f26bbdf6717e0",5,1394136088,1464,88.8888888888889,0,0,8,0,2,0,8,"No"
"41",26989,5,"02d9aeeabbad3a858370c523e31f26bbdf6717e0",6,1394136507,419,100,11.1111111111111,0,1,0,1,0,1,"Yes"
"42",65254,15,"02d9aeeabbad3a858370c523e31f26bbdf6717e0",3,1396795573,923,80,0,5,7,53,2,13,12,"No"
"43",45106,9,"02e9ccdfec0abc5517e10b6a4df972bc857da18a",1,1396896616,381,0,0,0,8,0,5,0,8,"No"
"44",19527,4,"0305050b2ea1824254460a2835e0bc3a5c06a0f6",7,1395678307,2368,50,-25,127,0,1792,0,14,127,"No"
"45",17739,4,"032790534ab918d2a4ee8f98de73139ad56a06c8",2,1395880735,3502,100,25,1,0,0,0,0,1,"Yes"
"46",36839,8,"032790534ab918d2a4ee8f98de73139ad56a06c8",2,1396043380,1901,0,0,0,8,0,5,0,8,"No"
"47",47755,11,"032790534ab918d2a4ee8f98de73139ad56a06c8",2,1396392689,896,55.5555555555556,0,0,4,0,2,0,4,"No"
"48",47758,11,"032790534ab918d2a4ee8f98de73139ad56a06c8",5,1396457356,62971,88.8888888888889,22.2222222222222,0,10,0,7,0,10,"Yes"
"49",35758,7,"03690917ea24f1e277ac4fbcbc46de3b89d0cec1",11,1395508037,354313,71.4285714285714,0,4,0,1847,0,615,4,"No"
"50",45283,9,"03690917ea24f1e277ac4fbcbc46de3b89d0cec1",4,1395594680,187301,100,12.5,5,0,814,0,203,5,"Yes"
"51",45856,10,"037b1feb1ef5897794daa9ad07705d12c341825f",2,1395731454,80970,80.0000031789144,20.0000047683716,6,0,22,0,4,6,"Yes"
"52",42842,9,"040e07ad436e0e9f9a1ad4cd67cc47720892105e",1,1395695972,116,87.5,87.5,0,1,0,0,0,1,"Yes"
