"","UserID","ProblemID","improved","overalGradeDiff","CountofSubmissions","countOfVideoandForumEvents","avgTbwSubs"
"1","000e3646f96d6d68198f2fef6f0db5e774bfc69f",2,"No",0,2,11,407
"2","000e3646f96d6d68198f2fef6f0db5e774bfc69f",8,"No",0,7,76,17693.2857142857
"3","000e3646f96d6d68198f2fef6f0db5e774bfc69f",9,"Yes",12.5,2,17,1630.5
"4","0077f44f0f89d5f030eb51aaedfe2d44c52a6935",2,"No",0,2,16,63444.5
"5","0077f44f0f89d5f030eb51aaedfe2d44c52a6935",5,"No",97.7777777777778,2,29,36363.5
"6","00b4011fa2cad5669ff2ddbec5ab413735d992b6",4,"No",0,2,4,413
"7","0163922789abaa2a257f4b3bf5bfeed43e046aa5",14,"No",0,2,20,33332
"8","02d9aeeabbad3a858370c523e31f26bbdf6717e0",4,"No",0,4,59,344628
"9","02d9aeeabbad3a858370c523e31f26bbdf6717e0",5,"No",0,2,20,3509
"10","040e07ad436e0e9f9a1ad4cd67cc47720892105e",9,"Yes",12.5,2,4,318.5
"11","05c73e4f4fe00d1395a5d84cfdff86830d9c0271",4,"No",-25,2,2,582
"12","05c73e4f4fe00d1395a5d84cfdff86830d9c0271",4,"Yes",25,2,3,97693.5
"13","0682318f54a8d8686f814a8842a61aef1dce9691",14,"No",0,2,37,5236
"14","069bf617a4761770a2aff926428e0749a8c2d23c",5,"No",2.2222222222222,3,4,476.666666666667
"15","069bf617a4761770a2aff926428e0749a8c2d23c",5,"Yes",24.4444444444445,2,5,325
"16","069bf617a4761770a2aff926428e0749a8c2d23c",11,"No",0,2,5,277.5
"17","076e3de1f333e30d0addbd8dda9a5f60b98c9d2e",9,"No",12.5,2,24,43332
"18","076e3de1f333e30d0addbd8dda9a5f60b98c9d2e",11,"No",0,2,30,52021.5
"19","078a4b2cced10945b0642f83a86b040b476cb8c9",2,"No",0,2,20,23850
"20","07d5ac1ee0fa02d08b92ec465970a8213d1ece9b",2,"No",0,2,9,902
"21","085f05db05d1fd80305f4f696136836d5d0221a0",5,"Yes",11.1111111111111,2,49,1029
"22","08f80e6405ceac3f827b8531274baaa5ab96b237",8,"No",-2.5,2,9,629.5
"23","08f80e6405ceac3f827b8531274baaa5ab96b237",9,"No",0,2,20,37085.5
"24","099b8eea615c2b168baba290201eabca9c0591c1",14,"No",-1.3333333333334,3,35,765.333333333333
"25","09d54bb84e03f42eec1ec9c99c7fa57419248060",4,"No",25,3,44,268526
"26","0a6a48ce6797480133acf760f5729c14ecb57d8a",14,"Yes",60,2,31,9071.5
"27","0a6a48ce6797480133acf760f5729c14ecb57d8a",15,"No",40,6,48,5639
"28","0a6de3bd3bbbbc16b06b1b44a142f008be173bc7",14,"No",36,5,17,346.8
